date,open,high,low,close,vol,turn
2015/06/25,48.28,48.28,43.82,44.36,1057760,98022576.00
2015/06/26,43.12,43.12,39.92,39.92,1361852,110842416.00
2015/06/29,40.99,40.99,35.92,35.92,2271926,166859536.00
2015/06/30,33.29,38.40,32.32,37.54,3291549,229618880.00
2015/07/01,36.90,38.85,33.91,33.99,2230401,165293648.00
2015/07/02,33.66,34.89,30.58,30.58,2355350,148595920.00
2015/07/03,27.53,31.29,27.51,27.95,2817600,159429744.00
2015/07/06,30.76,30.76,25.15,26.02,4121055,230359616.00
2015/07/07,25.49,25.49,23.41,23.41,2804223,135897712.00
2015/07/08,21.06,21.06,21.06,21.06,1645500,69621104.00
2015/07/09,20.40,23.17,19.91,23.17,5223872,233586848.00
2015/07/10,25.50,25.50,25.50,25.50,349762,17904316.00
2015/07/13,28.06,28.06,28.06,28.06,219358,12352049.00
2015/07/14,30.87,30.87,30.87,30.87,256240,15871506.00
2015/07/15,32.85,33.92,28.90,31.17,8726283,566409984.00
2015/07/16,29.46,34.29,28.40,33.82,3455220,222186880.00
2015/07/17,33.75,36.39,32.90,35.66,2697787,191547760.00
2015/07/20,35.40,36.50,34.59,35.31,3395730,241938368.00
2015/07/21,34.40,36.40,33.10,35.43,1591812,113071888.00
2015/07/22,35.20,36.67,34.80,36.22,1589017,114359560.00
2015/07/23,36.35,38.91,35.75,38.53,1782476,134587536.00
2015/07/24,37.95,38.78,36.16,36.37,3029988,226515600.00
2015/07/27,35.46,37.45,32.73,32.74,2757952,192895088.00
2015/07/28,30.39,33.95,29.46,32.08,2724229,169584928.00
2015/07/29,32.45,34.25,30.95,34.02,1710761,112149552.00
2015/07/30,34.40,34.68,31.95,32.19,3107201,210372544.00
2015/07/31,32.45,33.70,30.95,31.48,2409971,155457136.00
2015/08/03,31.40,31.40,28.35,30.61,2398348,142810000.00
2015/08/04,30.61,32.50,29.77,32.47,1888400,117998424.00
2015/08/05,32.50,33.69,31.71,32.89,2250897,147665024.00
2015/08/06,31.86,33.15,31.49,31.99,1109121,71810768.00
2015/08/07,32.45,34.25,32.04,33.63,1684701,112188344.00
2015/08/10,34.45,35.90,33.70,35.77,1871897,130532680.00
2015/08/11,35.84,36.85,35.46,35.59,1524900,110192856.00
2015/08/12,35.19,35.79,34.55,35.30,1321776,93617040.00
2015/08/13,34.41,35.21,33.80,35.16,1617730,111772488.00
2015/08/14,35.35,35.45,34.45,35.00,1166631,81391632.00
2015/08/17,35.59,35.59,34.49,35.29,1110653,77832056.00
2015/08/18,35.44,36.70,31.76,32.00,1376533,95013976.00
2015/08/19,30.46,32.75,29.79,32.52,1207398,75437832.00
2015/08/20,32.15,32.46,30.74,30.98,739759,46748232.00
2015/08/21,30.45,30.76,27.91,28.15,1490044,87510456.00
2015/08/24,26.21,27.12,25.33,25.33,2052295,105046104.00
2015/08/25,23.10,25.84,22.96,23.58,3105112,150175552.00
2015/08/26,23.95,25.85,23.59,24.60,2753350,136820720.00
2015/08/27,25.05,27.01,25.05,26.84,2161710,112941520.00
2015/08/28,26.75,28.49,26.24,28.43,2183184,119658928.00
2015/08/31,27.65,28.54,26.30,27.05,1175891,64172392.00
2015/09/01,27.05,27.05,24.34,24.34,1544388,77823840.00
2015/09/02,23.01,25.66,23.01,23.99,1146498,55692440.00
2015/09/07,24.54,26.39,24.19,25.73,2036717,104977936.00
2015/09/08,25.85,26.93,25.40,26.89,1332790,69968544.00
2015/09/09,26.96,28.15,26.81,27.18,1689788,92878440.00
2015/09/10,26.56,27.19,26.13,26.15,1067570,57022612.00
2015/09/11,26.27,27.20,26.15,26.66,697667,37281200.00
2015/09/14,26.66,27.06,23.99,23.99,1385307,70114888.00
2015/09/15,23.96,25.14,23.51,24.26,1151105,56551348.00
2015/09/16,24.50,26.69,24.24,26.69,1210351,61505488.00
2015/09/17,26.20,27.55,25.61,26.28,1462472,78162984.00
2015/09/18,26.46,26.80,26.00,26.25,921770,48798400.00
2015/09/21,26.00,28.19,26.00,27.94,1524793,83846048.00
2015/09/22,27.95,29.29,27.95,29.03,2065961,119321952.00
2015/09/23,28.54,29.26,28.43,28.85,1146162,66421316.00
2015/09/24,29.20,29.89,28.95,29.41,918220,54146248.00
2015/09/25,29.30,29.50,27.46,28.54,1311880,75187840.00
2015/09/28,28.47,29.05,27.94,28.95,834293,47849540.00
2015/09/29,28.50,29.01,28.26,28.85,606865,35068460.00
2015/09/30,28.85,29.05,28.00,28.90,859568,49691692.00
2015/10/08,29.95,30.45,29.50,30.38,883089,53257584.00
2015/10/09,30.40,31.15,30.13,30.40,906055,55514336.00
2015/10/12,30.70,33.38,30.25,31.81,1820930,116660096.00
2015/10/13,31.40,32.19,30.89,31.71,1113517,70253576.00
2015/10/14,31.72,31.81,30.85,30.94,976418,61098008.00
2015/10/15,30.55,32.88,30.50,32.65,1709425,109827000.00
2015/10/16,32.55,33.35,31.95,32.87,1357099,88698800.00
2015/10/19,32.83,33.80,32.35,33.35,1555911,103445800.00
2015/10/20,33.05,33.20,31.85,32.81,1247722,81332016.00
2015/10/21,32.48,32.80,29.53,29.57,1853118,116811776.00
2015/10/22,29.96,31.15,29.96,30.84,1072289,65814264.00
2015/10/23,30.69,33.20,30.69,33.08,1725082,110051192.00
2015/10/26,34.86,36.39,34.60,35.71,4143746,295821632.00
2015/10/27,34.45,36.89,34.00,36.88,2434184,173942448.00
2015/10/28,36.54,37.44,34.71,35.18,1259532,91604536.00
